排行類型,名次,名稱,代號,株価,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
漲幅排行,1,東京ボード工業,7815,306,,+35.40%,,,,
漲幅排行,2,ウェッジホールディングス,2388,43,,+34.38%,,,,
漲幅排行,3,トラース・オン・プロダクト,6696,322,,+33.06%,,,,
漲幅排行,4,リベルタ,4935,257,,+24.15%,,,,
漲幅排行,5,Institution for a Global Society,4265,430,,+22.86%,,,,
漲幅排行,6,サンウェルズ,9229,142,,+20.34%,,,,
漲幅排行,7,太洋物産,9941,1520,,+19.69%,,,,
漲幅排行,8,LiNKX,584A,3075,,+19.42%,,,,
漲幅排行,9,日本フエルト,3512,940,,+18.99%,,,,
漲幅排行,10,アクリート,4395,932,,+18.42%,,,,
漲幅排行,11,TWOSTONE&Sons,7352,490,,+18.07%,,,,
漲幅排行,12,中村超硬,6166,666,,+17.67%,,,,
漲幅排行,13,宮越ホールディングス,6620,1010,,+17.44%,,,,
漲幅排行,14,日東紡,3110,4580,,+16.66%,,,,
漲幅排行,15,ホリイフードサービス,3077,854,,+16.51%,,,,
漲幅排行,16,グローバルセキュリティエキスパート,4417,3825,,+15.56%,,,,
漲幅排行,17,シェアリングテクノロジー,3989,1145,,+15.08%,,,,
漲幅排行,18,Link-Uグループ,4446,764,,+15.06%,,,,
漲幅排行,19,Appier Group,4180,826,,+14.72%,,,,
漲幅排行,20,日本システム技術,4323,1689,,+13.51%,,,,
漲幅排行,21,イーディーピー,7794,1163,,+13.35%,,,,
漲幅排行,22,Sansan,4443,1566,,+13.23%,,,,
漲幅排行,23,クオリプス,4894,4350,,+12.84%,,,,
漲幅排行,24,FIXER,5129,284,,+12.25%,,,,
漲幅排行,25,岡本硝子,7746,949,,+11.65%,,,,
漲幅排行,26,カバー,5253,1357,,+11.41%,,,,
漲幅排行,27,東洋エンジニアリング,6330,2155,,+11.31%,,,,
漲幅排行,28,ダイナミックマッププラットフォーム,336A,822,,+11.23%,,,,
漲幅排行,29,テクノフレックス,3449,10160,,+11.04%,,,,
漲幅排行,30,太陽誘電,6976,18610,,+10.91%,,,,
成交量排行,1,日経平均ベア2倍上場投信,1360,63.71,,- 0.47%,,,,
成交量排行,2,ランド,8918,101,,0.00%,,,,
成交量排行,3,NTT,9432,146,,+1.18%,,,,
成交量排行,4,オンコセラピー・サイエンス,4564,181,,-5.26%,,,,
成交量排行,5,ソフトバンク,9434,207.8,,+1.51%,,,,
成交量排行,6,ジャパンディスプレイ,6740,601,,0.00%,,,,
成交量排行,7,ソレイジア・ファーマ,4597,26,,+8.33%,,,,
成交量排行,8,ソニーフィナンシャルグループ,8729,141.5,,+4.12%,,,,
成交量排行,9,ソフトバンクグループ,9984,5894,,-5.33%,,,,
成交量排行,10,フジクラ,5803,5885,,-4.01%,,,,
成交量排行,11,サンリオ,8136,1126.5,,+3.16%,,,,
成交量排行,12,キオクシアホールディングス,285A,88450,,-4.05%,,,,
成交量排行,13,ソニーグループ,6758,3299,,+3.13%,,,,
成交量排行,14,日本製鉄,5401,546.1,,+0.52%,,,,
成交量排行,15,トヨタ自動車,7203,2772,,+0.14%,,,,
成交量排行,16,日産自動車,7201,301.9,,+0.63%,,,,
成交量排行,17,TOPIXベア2倍上場投信,1356,113.8,,-0.78%,,,,
