排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,329989,32.9989
成交量排行,2,ＮＴＴ,94320,149.0,-0.5,-0.33%,150.1,148.6,178053,265.3003
成交量排行,3,ソフトバンク,94340,214.4,1.3,0.61%,216.8,211.5,80955,173.5679
成交量排行,4,フジクラ,58030,4938.0,114.0,2.36%,5209.0,4904.0,45092,2226.6676
成交量排行,5,ソニーフィナンシャルグループ,87290,147.8,-1.9,-1.27%,149.7,146.7,43889,64.869
成交量排行,6,ソフトバンクグループ,99840,5757.0,-6.0,-0.10%,5958.0,5724.0,41571,2393.2713
成交量排行,7,キオクシアホールディングス,285A0,77860.0,5990.0,8.33%,79950.0,75700.0,40044,31178.8813
成交量排行,8,ジャパンディスプレイ,67400,50.0,-2.0,-3.85%,54.0,50.0,35542,17.7714
成交量排行,9,東京電力ホールディングス,95010,479.1,-0.8,-0.17%,482.4,462.3,33095,158.5625
成交量排行,10,日産自動車,72010,304.5,-8.6,-2.75%,310.8,303.8,31757,96.7028
成交量排行,11,村田製作所,69810,9475.0,448.0,4.96%,9609.0,9265.0,29495,2794.6607
成交量排行,12,太陽誘電,69760,14680.0,-285.0,-1.90%,15770.0,14325.0,26672,3915.4936
成交量排行,13,三菱ＵＦＪフィナンシャル・グループ,83060,3414.0,-19.0,-0.55%,3424.0,3381.0,26333,899.012
成交量排行,14,トヨタ自動車,72030,2824.0,-65.0,-2.25%,2865.0,2817.0,24949,704.5824
成交量排行,15,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,16,サンリオ,81360,1130.5,-47.0,-3.99%,1168.0,1113.0,23240,262.7305
成交量排行,17,ＪＸ金属,50160,3870.0,189.0,5.13%,3910.0,3787.0,22213,859.6625
成交量排行,18,日本製鉄,54010,556.0,0.0,0.00%,557.6,552.1,19003,105.6567
成交量排行,19,住友電気工業,58020,2401.0,39.5,1.67%,2487.0,2371.0,18696,448.891
成交量排行,20,メタプラネット,33500,238.0,12.0,5.31%,240.0,223.0,18376,43.7365
成交量排行,21,三菱重工業,70110,3805.0,-16.0,-0.42%,3867.0,3785.0,16150,614.5075
成交量排行,22,ルネサスエレクトロニクス,67230,4817.0,155.0,3.32%,4979.0,4761.0,15820,762.0928
成交量排行,23,古河電気工業,58010,3543.0,2.0,0.06%,3687.0,3507.0,15748,557.9835
成交量排行,24,楽天グループ,47550,806.7,3.9,0.49%,815.8,785.0,15671,126.422
成交量排行,25,ソニーグループ,67580,3409.0,-59.0,-1.70%,3432.0,3385.0,15472,527.4712
成交量排行,26,ＳＵＭＣＯ,34360,4544.0,37.0,0.82%,4743.0,4468.0,14372,653.0773
成交量排行,27,本田技研工業,72670,1502.0,-23.0,-1.51%,1512.5,1492.5,12604,189.3151
成交量排行,28,ＬＩＮＥヤフー,46890,446.6,-2.6,-0.58%,449.0,439.3,12301,54.9381
成交量排行,29,伊藤忠商事,80010,1891.5,13.5,0.72%,1899.0,1851.0,12090,228.6994
成交量排行,30,ＩＨＩ,70130,2813.0,-79.0,-2.73%,2878.0,2803.0,11074,311.5201
成交量排行,31,川崎重工業,70120,2746.5,-80.0,-2.83%,2832.5,2735.5,10932,300.2694
