分類,名稱,代號,股價(收盤/最新),漲跌,漲跌幅(%),開盤,昨收,最高,最低,成交量(千股),成交金額(億日圓),時間,漲停
食品,極洋,13010,4515.0,-25.0,-0.55%,0.0,4540.0,4575.0,4515.0,31,1.3997,2026-07-16,
食品,ニッスイ,13320,1244.0,2.0,0.16%,0.0,1242.0,1258.0,1233.0,1153,14.3458,2026-07-16,
食品,Ｕｍｉｏｓ,13330,1323.5,6.5,0.49%,0.0,1317.0,1340.0,1320.0,505,6.685,2026-07-16,
食品,ユキグニファクトリー,13750,1152.0,-5.0,-0.43%,0.0,1157.0,1159.0,1149.0,26,0.2995,2026-07-16,
食品,カネコ種苗,13760,1501.0,-20.0,-1.31%,0.0,1521.0,1544.0,1501.0,9,0.1486,2026-07-16,
食品,サカタのタネ,13770,4380.0,5.0,0.11%,0.0,4375.0,4430.0,4350.0,140,6.1451,2026-07-16,
食品,ホクト,13790,1923.0,-11.0,-0.57%,0.0,1934.0,1949.0,1919.0,50,0.9615,2026-07-16,
食品,秋川牧園,13800,1009.0,-10.0,-0.98%,0.0,1019.0,1025.0,1005.0,4,0.0454,2026-07-16,
食品,アクシーズ,13810,3515.0,-10.0,-0.28%,0.0,3525.0,3550.0,3515.0,2,0.0984,2026-07-16,
食品,ホーブ,13820,1121.0,-17.0,-1.49%,0.0,1138.0,1124.0,1108.0,0,0.0101,2026-07-16,
食品,ベルグアース,13830,2949.0,18.0,0.61%,0.0,2931.0,2950.0,2933.0,1,0.0472,2026-07-16,
食品,ホクリヨウ,13840,2021.0,-9.0,-0.44%,0.0,2030.0,2050.0,2021.0,12,0.2425,2026-07-16,
建設・資材,ウエストホールディングス,14070,2747.0,-55.0,-1.96%,0.0,2802.0,2878.0,2662.0,1808,49.6767,2026-07-16,
建設・資材,ショーボンドホールディングス,14140,1271.5,0.5,0.04%,0.0,1271.0,1281.5,1267.0,586,7.4612,2026-07-16,
建設・資材,ミライト・ワン,14170,3700.0,-60.0,-1.60%,0.0,3760.0,3777.0,3698.0,167,6.2012,2026-07-16,
建設・資材,インターライフホールディングス,14180,595.0,63.0,11.84%,0.0,532.0,632.0,584.0,1001,5.9559,2026-07-16,
建設・資材,タマホーム,14190,2973.0,-8.0,-0.27%,0.0,2981.0,3015.0,2958.0,241,7.1828,2026-07-16,
建設・資材,サンヨーホームズ,14200,647.0,2.0,0.31%,0.0,645.0,648.0,644.0,17,0.1152,2026-07-16,
建設・資材,日本アクア,14290,742.0,-2.0,-0.27%,0.0,744.0,751.0,739.0,82,0.6114,2026-07-16,
建設・資材,ファーストコーポレーション,14300,1020.0,-18.0,-1.73%,0.0,1038.0,1052.0,1006.0,62,0.6375,2026-07-16,
建設・資材,ベステラ,14330,1145.0,-8.0,-0.69%,0.0,1153.0,1151.0,1141.0,21,0.2508,2026-07-16,
建設・資材,ＪＥＳＣＯホールディングス,14340,1842.0,-48.0,-2.54%,0.0,1890.0,1882.0,1805.0,116,2.1515,2026-07-16,
不動産,ｒｏｂｏｔ　ｈｏｍｅ,14350,168.0,-2.0,-1.18%,0.0,170.0,171.0,168.0,103,0.1744,2026-07-16,
建設・資材,岐阜造園,14380,1891.0,11.0,0.59%,0.0,1880.0,1891.0,1891.0,0,0.0019,2026-07-16,
建設・資材,技研ホールディングス,14430,251.0,-3.0,-1.18%,0.0,254.0,260.0,251.0,75,0.1898,2026-07-16,
建設・資材,キャンディル,14460,540.0,0.0,0.00%,0.0,540.0,542.0,539.0,2,0.0151,2026-07-16,
